"","workerid","item","slide_number","condition","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","pref7","response7","pref8","response8","pref9","response9","obj1","obj2","obj3","ambiguous","numFeatures"
"16","1","1625","3","211112","english","circle","0.7","striped","0.6","red","0.7","solid","0.55","blue","0.6","cloud","0.6","green","0.75",NA,NA,NA,NA,"222","123","111","True","7"
"17","1","1685","4","121212","english","polka-dotted","0.8","striped","0.85","green","0.65","square","0.85","blue","0.85","cloud","0.7",NA,NA,NA,NA,NA,NA,"331","123","123","False","6"
"18","1","1291","5","111111","english","solid","0.8","green","0.75","circle","0.75","polka-dotted","0.8","striped","0.8","square","0.8","red","0.85","cloud","0.8","blue","0.7","231","322","113","False","9"
"19","1","384","6","122132","english","cloud","0.75","circle","0.85","polka-dotted","0.8","solid","0.75","green","0",NA,NA,NA,NA,NA,NA,NA,NA,"233","133","113","True","5"
"20","1","1936","7","111212","english","blue","0.05","striped","0.9","solid","0.8","circle","0.9","polka-dotted","0.85","square","0.7","red","0.75",NA,NA,NA,NA,"222","311","331","True","7"
"21","1","1294","8","111111","english","polka-dotted","0.75","green","0.75","circle","0.85","red","0.7","blue","0.8","square","0.85","cloud","0.7","solid","0.75","striped","0.7","112","323","231","False","9"
"22","1","2049","9","322122","english","cloud","0.85","striped","0.75","square","0.8","blue","0.6","red","0.9",NA,NA,NA,NA,NA,NA,NA,NA,"322","321","122","True","5"
"23","1","1151","10","212232","english","green","0.75","cloud","0.85","solid","0.7","polka-dotted","0.8","red","0.8",NA,NA,NA,NA,NA,NA,NA,NA,"133","113","132","True","5"
"24","1","922","11","212121","english","circle","0.35","striped","0.25","blue","0.75","red","0.25","square","0.85","polka-dotted","0.8",NA,NA,NA,NA,NA,NA,"222","222","331","False","6"
"25","1","1385","12","113211","english","solid","0.8","square","0.85","circle","0.9","polka-dotted","0.75","striped","0.85","cloud","0.65","blue","0.1",NA,NA,NA,NA,"231","311","121","True","7"
"26","1","1783","13","322132","english","solid","0.15","blue","0.05","square","0.1","striped","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"311","311","321","True","4"
"27","1","1660","14","121212","english","square","0.2","solid","0.75","cloud","0.9","striped","0.25","red","0.2","green","0.85",NA,NA,NA,NA,NA,NA,"113","322","322","False","6"
"28","1","1165","15","212232","english","red","0.65","green","0.3","circle","0","striped","0.2","solid","0.95",NA,NA,NA,NA,NA,NA,NA,NA,"223","213","222","True","5"
"29","1","953","16","121112","english","circle","0.75","green","0.85","polka-dotted","0.7","red","0.25","cloud","0.75","square","0.7","striped","0.3",NA,NA,NA,NA,"333","122","222","True","7"
"30","1","1002","17","212212","english","green","0.35","cloud","0.8","red","0.75","square","0.25","polka-dotted","0.25","striped","0.7",NA,NA,NA,NA,NA,NA,"322","333","132","True","6"
"31","2","2321","3","123232","English","green","1","striped","1","square","0.75","circle","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"323","223","223","True","4"
