"","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous"
"1","0","1325","6","English","clouds","0.5","circles","0.5","squares","0.5","blue things","0.5","red things","0.5","green things","0.5","321","332","231","striped","122122","False"
"2","0","2212","7","English","solid things","0.5","striped things","0.85","polka-dotted things","0.3","blue things","0.5","red things","0.5","green things","0.5","223","213","233","circle","323211","True"
"3","0","1772","8","English","clouds","0.5","circles","0.8","squares","0.25","blue things","0.5","red things","0.5","green things","0.5","221","221","321","striped","322132","True"
"4","0","1026","9","English","clouds","0.7","circles","0.5","squares","0.5","solid things","0.5","striped things","0.7","polka-dotted things","0.5","122","232","133","red","212212","True"
"5","0","1540","10","English","clouds","0.35","circles","0.5","squares","0.5","solid things","0.5","striped things","0.85","polka-dotted things","0.5","323","313","113","green","322112","True"
"6","0","571","11","English","blue things","0.5","red things","0.75","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","112","111","311","cloud","213212","True"
"7","0","547","12","English","clouds","0.7","circles","0.5","squares","0.35","solid things","0.5","striped things","0.5","polka-dotted things","0.5","132","133","331","red","112132","False"
"8","0","2122","13","English","clouds","0.5","circles","0.5","squares","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","312","221","233","red","111112","False"
"9","0","1393","14","English","blue things","0.5","red things","0.5","green things","0.5","clouds","0.5","circles","0.5","squares","0.5","221","331","111","striped","113211","False"
"10","0","607","15","English","solid things","0.5","striped things","0.5","polka-dotted things","0.5","blue things","0.5","red things","0.5","green things","0.5","213","113","322","circle","112121","False"
"11","0","1008","16","English","blue things","0.5","red things","0.85","green things","0.5","clouds","0.5","circles","0.5","squares","0.5","322","221","212","striped","212212","True"
"12","0","1718","17","English","clouds","0.5","circles","0.5","squares","0.5","solid things","0.5","striped things","0.35","polka-dotted things","0.75","233","223","321","green","212112","True"
"13","0","1531","18","English","clouds","0.5","circles","0.5","squares","0.5","blue things","0.5","red things","0.5","green things","0.75","223","221","121","striped","322112","True"
"14","0","652","19","English","blue things","0.5","red things","0.75","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","112","133","311","cloud","212211","True"
"15","0","1148","20","English","clouds","0.5","circles","0.5","squares","0.5","blue things","0.5","red things","0.75","green things","0.3","232","333","333","polka-dotted","321212","True"
"16","1","552","6","english","solid things","0.4","striped things","0.6","polka-dotted things","0.65","blue things","0","red things","0.5","green things","1","133","131","331","cloud","213212","True"
"17","1","1859","7","english","solid things","0","striped things","0.6","polka-dotted things","0.95","blue things","0.5","red things","0.5","green things","0.5","133","313","313","cloud","123212","False"
"18","1","1690","8","english","clouds","1","circles","1","squares","0.4","blue things","1","red things","0.5","green things","0.05","211","123","123","solid","121212","False"
"19","1","1417","9","english","clouds","0","circles","0","squares","1","solid things","1","striped things","0.5","polka-dotted things","0.5","313","333","123","green","322111","True"
"20","1","1733","10","english","solid things","0","striped things","1","polka-dotted things","0.5","clouds","0","circles","1","squares","0.5","223","213","112","green","212112","True"
"21","1","733","11","english","solid things","0.5","striped things","0.5","polka-dotted things","1","blue things","0.75","red things","0.5","green things","0.5","131","132","221","cloud","212122","True"
"22","1","341","12","english","blue things","0.5","red things","0.5","green things","0.5","clouds","1","circles","0.5","squares","0","132","332","222","polka-dotted","213211","True"
"23","1","1919","13","english","clouds","1","circles","0.2","squares","0.5","solid things","1","striped things","0.55","polka-dotted things","0","113","231","232","green","111212","False"
"24","1","2300","14","english","solid things","0.5","striped things","0.5","polka-dotted things","0.5","clouds","0.5","circles","0.5","squares","0.5","132","132","131","red","213232","False"
"25","1","1196","15","english","blue things","0.5","red things","0","green things","0.7","solid things","0.5","striped things","0.5","polka-dotted things","0.5","223","222","323","circle","212232","True"
"26","1","267","16","english","solid things","0.5","striped things","0.2","polka-dotted things","0.8","clouds","0","circles","0.5","squares","0.35","233","123","232","green","212222","True"
"27","1","178","17","english","clouds","0.5","circles","0.5","squares","0.5","blue things","0","red things","0.5","green things","1","323","321","321","striped","323212","True"
"28","1","1095","18","english","solid things","0.5","striped things","0.5","polka-dotted things","0.5","blue things","0","red things","0.5","green things","1","123","321","221","cloud","113212","False"
"29","1","2090","19","english","solid things","0","striped things","1","polka-dotted things","0","clouds","1","circles","0","squares","0","121","211","331","blue","321111","True"
"30","1","676","20","english","clouds","0","circles","0.5","squares","0.5","blue things","0","red things","0","green things","1","333","132","321","polka-dotted","212211","True"
"31","2","1527","6","English","solid things","0.5","striped things","0.5","polka-dotted things","0.5","blue things","0.5","red things","0.5","green things","0.5","213","212","222","circle","322112","True"
"32","2","392","7","English","blue things","0.5","red things","0.5","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","112","312","322","cloud","122132","False"
"33","2","1156","8","English","solid things","0.05","striped things","0.05","polka-dotted things","0.9","clouds","0.5","circles","0.5","squares","0.5","232","222","231","red","212232","True"
"34","2","1981","9","English","blue things","0.5","red things","0.5","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","211","211","211","circle","323232","False"
"35","2","646","10","English","solid things","0.5","striped things","0.5","polka-dotted things","0.5","clouds","0.5","circles","0.5","squares","0.5","223","221","332","green","112121","False"
"36","2","1284","11","English","clouds","0.5","circles","0.5","squares","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","223","111","332","green","111111","False"
"37","2","307","12","English","blue things","0.5","red things","0.5","green things","0.5","clouds","0.95","circles","0.5","squares","0.05","131","331","211","polka-dotted","213211","True"
"38","2","2250","13","English","clouds","0.95","circles","0","squares","0.05","blue things","0.5","red things","0.5","green things","0.5","131","231","331","polka-dotted","323211","True"
"39","2","437","14","English","solid things","0.95","striped things","0.05","polka-dotted things","0.05","blue things","0.5","red things","0.05","green things","0.95","213","232","222","circle","321112","True"
"40","2","1114","15","English","solid things","0.05","striped things","0.9","polka-dotted things","0.5","clouds","0.9","circles","0.5","squares","0","122","312","312","red","321212","True"
"41","2","1525","16","English","blue things","0.95","red things","0.5","green things","0.05","clouds","0.95","circles","0.5","squares","0.1","111","113","313","solid","322112","True"
"42","2","1427","17","English","solid things","0.05","striped things","0.95","polka-dotted things","0.5","blue things","0","red things","0","green things","0.95","123","121","112","cloud","322111","True"
"43","2","185","18","English","solid things","0.05","striped things","0.5","polka-dotted things","0.9","clouds","0.5","circles","0.5","squares","0.5","331","311","311","blue","323212","True"
"44","2","1630","19","English","clouds","0","circles","0.95","squares","0","blue things","0.95","red things","0.5","green things","0.05","221","123","313","striped","211112","True"
"45","2","1249","20","English","solid things","0.5","striped things","0.5","polka-dotted things","0.5","clouds","0.5","circles","0.5","squares","0.5","323","122","111","green","112112","False"
"46","3","1501","6","English","clouds","0.8","circles","0.55","squares","0.5","blue things","0.8","red things","0.1","green things","0.5","121","321","322","striped","322112","True"
"47","3","1592","7","English","blue things","0.55","red things","0.95","green things","0.1","clouds","0.05","circles","0.95","squares","0.5","232","232","133","polka-dotted","322121","True"
"48","3","79","8","English","blue things","0.5","red things","0.5","green things","0.5","solid things","0.5","striped things","0.5","polka-dotted things","0.5","323","121","112","square","122111","False"
"49","3","1750","9","English","blue things","0","red things","0.9","green things","0.45","solid things","0.5","striped things","0.5","polka-dotted things","0.5","232","231","321","circle","212112","True"
"50","3","1572","10","English","blue things","0.95","red things","0.05","green things","0.5","solid things","0.95","striped things","0","polka-dotted things","0.5","311","311","322","square","322121","True"
