"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode"
"1",1,0,1325,6,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,321,332,231,"striped",122122,"False",2,1,3,6,18,8,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.32205,0.34461,0.33333,0.35194,0.31473,0.34461,0.32205,0.33333,0.33333,0.32258,0.34409,0.33333,0.35097,0.31569,0.34409,0.32258,0.33333,122122
"2",2,0,2212,7,"English","solid things",0.5,"striped things",0.85,"polka-dotted things",0.3,"blue things",0.5,"red things",0.5,"green things",0.5,223,213,233,"circle",323211,"True",1,2,3,23,20,26,NA,NA,NA,0.30303,0.51515,0.18182,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.27577,0.44845,0.27577,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.27446,0.45108,0.27446,0.33333,0.33333,0.33333,323211
"3",3,0,1772,8,"English","clouds",0.5,"circles",0.8,"squares",0.25,"blue things",0.5,"red things",0.5,"green things",0.5,221,221,321,"striped",322132,"True",2,1,3,5,5,6,0.32258,0.51613,0.16129,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.37194,0.29472,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.37702,0.28965,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323221
"4",4,0,1026,9,"English","clouds",0.7,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.7,"polka-dotted things",0.5,122,232,133,"red",212212,"True",3,1,2,13,17,25,0.41176,0.29412,0.29412,0.29412,0.41176,0.29412,NA,NA,NA,0.3963,0.27036,0.33333,0.33333,0.3953,0.27137,0.33333,0.33978,0.32689,0.39798,0.26869,0.33333,0.33333,0.39639,0.27028,0.33333,0.33942,0.32725,212212
"5",5,0,1540,10,"English","clouds",0.35,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.85,"polka-dotted things",0.5,323,313,113,"green",322112,"True",3,1,2,24,21,19,0.25926,0.37037,0.37037,0.27027,0.45946,0.27027,NA,NA,NA,0.29122,0.33333,0.37545,0.25098,0.41568,0.33333,0.33333,0.33333,0.33333,0.28833,0.33333,0.37834,0.25105,0.41562,0.33333,0.33333,0.33333,0.33333,322112
"6",6,0,571,11,"English","blue things",0.5,"red things",0.75,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,111,311,"cloud",213212,"True",1,3,2,10,1,3,NA,NA,NA,0.33333,0.33333,0.33333,0.28571,0.42857,0.28571,0.33915,0.33333,0.32751,0.33333,0.33333,0.33333,0.2657,0.40096,0.33333,0.33918,0.33333,0.32748,0.33333,0.33333,0.33333,0.26798,0.39869,0.33333,213212
"7",7,0,547,12,"English","clouds",0.7,"circles",0.5,"squares",0.35,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,132,133,331,"red",112132,"False",3,1,2,16,25,9,0.45161,0.32258,0.22581,0.33333,0.33333,0.33333,NA,NA,NA,0.34307,0.33333,0.32359,0.33333,0.33333,0.33333,0.32266,0.35697,0.32037,0.3434,0.33333,0.32327,0.33333,0.33333,0.33333,0.32224,0.35655,0.32122,113221
"8",8,0,2122,13,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,312,221,233,"red",111112,"False",3,1,2,12,5,26,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.31274,0.35392,0.36136,0.31932,0.31932,0.31932,0.36136,0.31932,0.33333,0.31475,0.35192,0.35859,0.32071,0.32071,0.32071,0.35859,0.32071,111211
"9",9,0,1393,14,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,221,331,111,"striped",113211,"False",2,3,1,5,9,1,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.3207,0.35861,0.3207,0.3207,0.35861,0.3207,0.33333,0.33333,0.33333,0.32136,0.35728,0.32136,0.32136,0.35728,0.32136,0.33333,0.33333,0.33333,113211
"10",10,0,607,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,213,113,322,"circle",112121,"False",1,2,3,20,19,15,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.32016,0.35597,0.32387,0.34213,0.32454,0.33333,0.33333,0.32454,0.34213,0.3211,0.35598,0.32291,0.34287,0.3238,0.33333,0.33333,0.3238,0.34287,112121
"11",11,0,1008,16,"English","blue things",0.5,"red things",0.85,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,322,221,212,"striped",212212,"True",2,3,1,15,5,11,0.33333,0.33333,0.33333,NA,NA,NA,0.27027,0.45946,0.27027,0.33333,0.27137,0.3953,0.32689,0.33978,0.33333,0.27036,0.3963,0.33333,0.33333,0.27028,0.39639,0.32725,0.33942,0.33333,0.26869,0.39798,0.33333,212212
"12",12,0,1718,17,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.35,"polka-dotted things",0.75,233,223,321,"green",212112,"True",3,1,2,26,23,6,0.33333,0.33333,0.33333,0.3125,0.21875,0.46875,NA,NA,NA,0.33333,0.33843,0.32824,0.33333,0.26671,0.39996,0.32824,0.33333,0.33843,0.33333,0.33882,0.32785,0.33333,0.2683,0.39837,0.32785,0.33333,0.33882,212112
"13",13,0,1531,18,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.75,223,221,121,"striped",322112,"True",2,1,3,23,5,4,0.33333,0.33333,0.33333,NA,NA,NA,0.28571,0.28571,0.42857,0.29122,0.37545,0.33333,0.33333,0.33333,0.33333,0.25098,0.33333,0.41568,0.28833,0.37834,0.33333,0.33333,0.33333,0.33333,0.25105,0.33333,0.41562,322112
"14",14,0,652,19,"English","blue things",0.5,"red things",0.75,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,133,311,"cloud",212211,"True",1,3,2,10,25,3,NA,NA,NA,0.33333,0.33333,0.33333,0.28571,0.42857,0.28571,0.33934,0.33333,0.32733,0.39229,0.33333,0.27438,0.32619,0.41191,0.26189,0.33922,0.33333,0.32744,0.39606,0.33333,0.2706,0.32594,0.41654,0.25752,212211
