"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik"
"1",1,0,1325,6,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,321,332,231,"striped",122122,"False",2,1,3,6,18,8,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.32193,0.34473,0.33333,0.352,0.31467,0.34473,0.32193,0.33333,0.33333,0.23065,0.43602,0.33333,0.44858,0.21809,0.43602,0.23065,0.33333,122122,2.19800462673349
"2",2,0,2212,7,"English","solid things",0.5,"striped things",0.85,"polka-dotted things",0.3,"blue things",0.5,"red things",0.5,"green things",0.5,223,213,233,"circle",323211,"True",1,2,3,23,20,26,NA,NA,NA,0.30303,0.51515,0.18182,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.27682,0.44636,0.27682,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.07692,0.84615,0.07692,0.33333,0.33333,0.33333,323211,2.13688271263567
"3",3,0,1772,8,"English","clouds",0.5,"circles",0.8,"squares",0.25,"blue things",0.5,"red things",0.5,"green things",0.5,221,221,321,"striped",322132,"True",2,1,3,5,5,6,0.32258,0.51613,0.16129,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.37567,0.29099,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.57143,0.09524,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323221,2.15741740971901
"4",4,0,1026,9,"English","clouds",0.7,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.7,"polka-dotted things",0.5,122,232,133,"red",212212,"True",3,1,2,13,17,25,0.41176,0.29412,0.29412,0.29412,0.41176,0.29412,NA,NA,NA,0.403,0.26366,0.33333,0.33333,0.4011,0.26557,0.33333,0.34027,0.32639,0.60386,0.06281,0.33333,0.33333,0.5819,0.08477,0.33333,0.39879,0.26788,212212,2.1786743141811
"5",5,0,1540,10,"English","clouds",0.35,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.85,"polka-dotted things",0.5,323,313,113,"green",322112,"True",3,1,2,24,21,19,0.25926,0.37037,0.37037,0.27027,0.45946,0.27027,NA,NA,NA,0.2842,0.33333,0.38247,0.24769,0.41898,0.33333,0.33333,0.33333,0.33333,0.09524,0.33333,0.57143,0.05556,0.61111,0.33333,0.33333,0.33333,0.33333,322112,2.16283699461694
"6",6,0,571,11,"English","blue things",0.5,"red things",0.75,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,111,311,"cloud",213212,"True",1,3,2,10,1,3,NA,NA,NA,0.33333,0.33333,0.33333,0.28571,0.42857,0.28571,0.33977,0.33333,0.32689,0.33333,0.33333,0.33333,0.26961,0.39706,0.33333,0.39879,0.33333,0.26788,0.33333,0.33333,0.33333,0.08477,0.5819,0.33333,213212,2.18287095307308
"7",7,0,547,12,"English","clouds",0.7,"circles",0.5,"squares",0.35,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,132,133,331,"red",112132,"False",3,1,2,16,25,9,0.45161,0.32258,0.22581,0.33333,0.33333,0.33333,NA,NA,NA,0.34446,0.33333,0.32221,0.33333,0.33333,0.33333,0.32092,0.35817,0.32092,0.43602,0.33333,0.23065,0.33333,0.33333,0.33333,0.24649,0.50701,0.24649,113221,2.19006259124332
"8",8,0,2122,13,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,312,221,233,"red",111112,"False",3,1,2,12,5,26,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.31458,0.35208,0.35881,0.32059,0.32059,0.32059,0.35881,0.32059,0.33333,0.21809,0.44858,0.50701,0.24649,0.24649,0.24649,0.50701,0.24649,111211,2.19970763233707
"9",9,0,1393,14,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,221,331,111,"striped",113211,"False",2,3,1,5,9,1,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.32065,0.3587,0.32065,0.32065,0.3587,0.32065,0.33333,0.33333,0.33333,0.24649,0.50701,0.24649,0.24649,0.50701,0.24649,0.33333,0.33333,0.33333,113211,2.19863861425652
"10",10,0,607,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,213,113,322,"circle",112121,"False",1,2,3,20,19,15,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.32065,0.3587,0.32065,0.34473,0.32193,0.33333,0.33333,0.32193,0.34473,0.24649,0.50701,0.24649,0.43602,0.23065,0.33333,0.33333,0.23065,0.43602,112121,2.19800462673349
