"","X.1","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik"
"1",1,1,0,1325,6,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,321,332,231,"striped",122122,"False",2,1,3,6,18,8,NA,NA,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,0.526332368338158,0.473667631661842,NA,0.516087419562902,0.483912580437098,NA,0.516087419562902,0.483912580437098,NA,122122,0
"2",2,2,0,2212,7,"English","solid things",0.5,"striped things",0.85,"polka-dotted things",0.3,"blue things",0.5,"red things",0.5,"green things",0.5,223,213,233,"circle",323211,"True",1,2,3,23,20,26,NA,NA,NA,NA,NA,NA,0.51515,0.30303,0.18182,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,0.452654526545265,0.273672736727367,0.273672736727367,323211,0
"3",3,3,0,1772,8,"English","clouds",0.5,"circles",0.8,"squares",0.25,"blue things",0.5,"red things",0.5,"green things",0.5,221,221,321,"striped",322132,"True",2,1,3,5,5,6,NA,NA,NA,NA,NA,NA,0.761905464851938,0.238094535148062,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0.570260702607026,0.429739297392974,NA,323221,0
"4",4,4,0,1026,9,"English","clouds",0.7,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.7,"polka-dotted things",0.5,122,232,133,"red",212212,"True",3,1,2,13,17,25,NA,NA,NA,0.58332861109537,0.41667138890463,NA,0.58332861109537,0.41667138890463,NA,0.5,0.5,NA,1,0,NA,1,0,NA,0.509082454587727,0.490917545412273,NA,0.598355983559836,0.401644016440164,NA,0.595677021614892,0.404322978385108,NA,212212,0
"5",5,5,0,1540,10,"English","clouds",0.35,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.85,"polka-dotted things",0.5,323,313,113,"green",322112,"True",3,1,2,24,21,19,NA,NA,NA,0.588234359862141,0.411765640137859,NA,0.629630137174023,0.370369862825977,NA,NA,NA,NA,1,0,NA,1,0,NA,NA,NA,NA,0.570260702607026,0.429739297392974,NA,0.62320188399058,0.37679811600942,NA,322112,0
"6",6,6,0,571,11,"English","blue things",0.5,"red things",0.75,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,111,311,"cloud",213212,"True",1,3,2,10,1,3,NA,NA,NA,NA,NA,NA,0.6000028000224,0.3999971999776,NA,0.5,0.5,NA,NA,NA,NA,1,0,NA,0.509082454587727,0.490917545412273,NA,NA,NA,NA,0.595677021614892,0.404322978385108,NA,213212,0
"7",7,7,0,547,12,"English","clouds",0.7,"circles",0.5,"squares",0.35,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,132,133,331,"red",112132,"False",3,1,2,16,25,9,NA,NA,NA,NA,NA,NA,0.666661746036432,0.333338253963568,NA,0.333333333333333,0.333333333333333,0.333333333333333,NA,NA,NA,0.5,0.5,NA,0.35716,0.32142,0.32142,NA,NA,NA,0.516087419562902,0.483912580437098,NA,113221,0
"8",8,8,0,2122,13,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,312,221,233,"red",111112,"False",3,1,2,12,5,26,NA,NA,NA,0.5,0.5,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.35716,0.32142,0.32142,0.526332368338158,0.473667631661842,NA,0.35716,0.32142,0.32142,111211,0
"9",9,9,0,1393,14,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,221,331,111,"striped",113211,"False",2,3,1,5,9,1,NA,NA,NA,NA,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,NA,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.35716,0.32142,0.32142,NA,NA,NA,0.35716,0.32142,0.32142,113211,0
"10",10,10,0,607,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,213,113,322,"circle",112121,"False",1,2,3,20,19,15,NA,NA,NA,0.5,0.5,NA,0.5,0.5,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,NA,0.5,0.5,NA,0.35716,0.32142,0.32142,0.516087419562902,0.483912580437098,NA,0.516087419562902,0.483912580437098,NA,112121,0
"11",11,11,0,1008,16,"English","blue things",0.5,"red things",0.85,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,322,221,212,"striped",212212,"True",2,3,1,15,5,11,NA,NA,NA,0.629630137174023,0.370369862825977,NA,0.5,0.5,NA,0.5,0.5,NA,1,0,NA,1,0,NA,0.509082454587727,0.490917545412273,NA,0.598355983559836,0.401644016440164,NA,0.595677021614892,0.404322978385108,NA,212212,0
"12",12,12,0,1718,17,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.35,"polka-dotted things",0.75,233,223,321,"green",212112,"True",3,1,2,26,23,6,NA,NA,NA,0.5,0.5,NA,0.681818181818182,0.318181818181818,NA,0.5,0.5,NA,0.5,0.5,NA,1,0,NA,0.509082454587727,0.490917545412273,NA,0.509082454587727,0.490917545412273,NA,0.595677021614892,0.404322978385108,NA,212112,0
"13",13,13,0,1531,18,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.75,223,221,121,"striped",322112,"True",2,1,3,23,5,4,NA,NA,NA,0.5,0.5,NA,0.6000028000224,0.3999971999776,NA,NA,NA,NA,1,0,NA,1,0,NA,NA,NA,NA,0.570260702607026,0.429739297392974,NA,0.62320188399058,0.37679811600942,NA,322112,0
