"","X","workerid","item","slide_number","condition","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","pref7","response7","pref8","response8","pref9","response9","obj1","obj2","obj3","ambiguous","numFeatures","obj1OC27","obj2OC27","obj3OC27","DPost_1","DPost_2","DPost_3","DPost_4","DPost_5","DPost_6","DPost_7","DPost_8","DPost_9","MPost1_1","MPost1_2","MPost1_3","MPost1_4","MPost1_5","MPost1_6","MPost1_7","MPost1_8","MPost1_9","MPost2_1","MPost2_2","MPost2_3","MPost2_4","MPost2_5","MPost2_6","MPost2_7","MPost2_8","MPost2_9"
"1",16,1,1625,3,211112,"english","circle",0.7,"striped",0.6,"red",0.7,"solid",0.55,"blue",0.6,"cloud",0.6,"green",0.75,NA,NA,NA,NA,222,123,111,"True",7,14,22,1,0.133,0.156,NA,0.122,0.133,NA,0.133,0.156,0.167,0.114,0.156,0,0.156,0.114,0,0.156,0.156,0.148,0.141,0.141,0,0.141,0.141,0,0.141,0.141,0.154
"2",17,1,1685,4,121212,"english","polka-dotted",0.8,"striped",0.85,"green",0.65,"square",0.85,"blue",0.85,"cloud",0.7,NA,NA,NA,NA,NA,NA,331,123,123,"False",6,9,22,22,0.149,NA,0.181,NA,0.181,0.17,0.181,NA,0.138,0.153,0,0.181,0,0.153,0.181,0.181,0,0.153,0.136,0,0.198,0,0.136,0.198,0.198,0,0.136
"3",18,1,1291,5,111111,"english","solid",0.8,"green",0.75,"circle",0.75,"polka-dotted",0.8,"striped",0.8,"square",0.8,"red",0.85,"cloud",0.8,"blue",0.7,231,322,113,"False",9,8,15,19,0.113,0.106,0.113,0.113,0.113,0.113,0.099,0.121,0.106,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
"4",19,1,384,6,122132,"english","cloud",0.75,"circle",0.85,"polka-dotted",0.8,"solid",0.75,"green",0,NA,NA,NA,NA,NA,NA,NA,NA,233,133,113,"True",5,26,25,19,0.238,0.27,NA,0.238,NA,0.254,NA,NA,0,0.189,0.227,0,0.227,0,0.189,0,0,0.168,0.231,0.191,0,0.191,0,0.231,0,0,0.155
"5",20,1,1936,7,111212,"english","blue",0.05,"striped",0.9,"solid",0.8,"circle",0.9,"polka-dotted",0.85,"square",0.7,"red",0.75,NA,NA,NA,NA,222,311,331,"True",7,14,3,9,NA,0.182,0.141,0.162,0.182,0.172,0.01,0.152,NA,0,0.158,0.12,0.143,0.158,0.143,0.12,0.158,0,0,0.151,0.125,0.147,0.151,0.147,0.125,0.151,0
"6",21,1,1294,8,111111,"english","polka-dotted",0.75,"green",0.75,"circle",0.85,"red",0.7,"blue",0.8,"square",0.85,"cloud",0.7,"solid",0.75,"striped",0.7,112,323,231,"False",9,10,24,8,0.102,0.124,0.124,0.109,0.102,0.109,0.117,0.102,0.109,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
"7",22,1,2049,9,322122,"english","cloud",0.85,"striped",0.75,"square",0.8,"blue",0.6,"red",0.9,NA,NA,NA,NA,NA,NA,NA,NA,322,321,122,"True",5,15,6,13,0.218,NA,0.205,NA,0.192,NA,0.154,0.231,NA,0.227,0,0.189,0,0.168,0,0.227,0.189,0,0.191,0,0.231,0,0.155,0,0.191,0.231,0
"8",23,1,1151,10,212232,"english","green",0.75,"cloud",0.85,"solid",0.7,"polka-dotted",0.8,"red",0.8,NA,NA,NA,NA,NA,NA,NA,NA,133,113,132,"True",5,25,19,16,0.218,NA,NA,0.179,NA,0.205,NA,0.205,0.192,0.168,0,0,0.227,0,0.189,0,0.227,0.189,0.155,0,0,0.191,0,0.231,0,0.191,0.231
"9",24,1,922,11,212121,"english","circle",0.35,"striped",0.25,"blue",0.75,"red",0.25,"square",0.85,"polka-dotted",0.8,NA,NA,NA,NA,NA,NA,222,222,331,"False",6,14,14,9,NA,0.108,0.262,NA,0.077,0.246,0.231,0.077,NA,0,0.153,0.181,0,0.153,0.181,0.181,0.153,0,0,0.136,0.198,0,0.136,0.198,0.198,0.136,0
"10",25,1,1385,12,113211,"english","solid",0.8,"square",0.85,"circle",0.9,"polka-dotted",0.75,"striped",0.85,"cloud",0.65,"blue",0.1,NA,NA,NA,NA,231,311,121,"True",7,8,3,4,0.133,0.184,0.173,0.163,0.173,0.153,0.02,NA,NA,0.151,0.151,0.151,0.151,0.151,0.151,0.092,0,0,0.145,0.145,0.145,0.145,0.145,0.145,0.13,0,0
"11",26,1,1783,13,322132,"english","solid",0.15,"blue",0.05,"square",0.1,"striped",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,311,321,"True",4,3,3,6,NA,NA,0.077,0.115,0.769,NA,0.038,NA,NA,0,0,0.228,0.261,0.283,0,0.228,0,0,0,0,0.164,0.464,0.207,0,0.164,0,0
"12",27,1,1660,14,121212,"english","square",0.2,"solid",0.75,"cloud",0.9,"striped",0.25,"red",0.2,"green",0.85,NA,NA,NA,NA,NA,NA,113,322,322,"False",6,19,15,15,0.286,NA,0.063,0.238,0.079,NA,NA,0.063,0.27,0.181,0,0.153,0.181,0.153,0,0,0.153,0.181,0.198,0,0.136,0.198,0.136,0,0,0.136,0.198
"13",28,1,1165,15,212232,"english","red",0.65,"green",0.3,"circle",0,"striped",0.2,"solid",0.95,NA,NA,NA,NA,NA,NA,NA,NA,223,213,222,"True",5,23,20,14,NA,0,NA,0.452,0.095,NA,NA,0.31,0.143,0,0.168,0,0.227,0.189,0,0,0.227,0.189,0,0.155,0,0.191,0.231,0,0,0.191,0.231
"14",29,1,953,16,121112,"english","circle",0.75,"green",0.85,"polka-dotted",0.7,"red",0.25,"cloud",0.75,"square",0.7,"striped",0.3,NA,NA,NA,NA,333,122,222,"True",7,27,13,14,0.174,0.174,0.163,NA,0.07,0.163,NA,0.058,0.198,0.143,0.143,0.158,0,0.12,0.158,0,0.12,0.158,0.147,0.147,0.151,0,0.125,0.151,0,0.125,0.151
"15",30,1,1002,17,212212,"english","green",0.35,"cloud",0.8,"red",0.75,"square",0.25,"polka-dotted",0.25,"striped",0.7,NA,NA,NA,NA,NA,NA,322,333,132,"True",6,15,27,16,0.258,NA,0.081,NA,0.226,0.081,NA,0.242,0.113,0.188,0,0.145,0,0.188,0.145,0,0.145,0.188,0.168,0,0.166,0,0.168,0.166,0,0.166,0.168
"16",31,2,2321,3,123232,"English","green",1,"striped",1,"square",0.75,"circle",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,223,223,"True",4,24,23,23,NA,0.267,0.2,NA,0.267,NA,NA,NA,0.267,0,0.182,0.207,0,0.305,0,0,0,0.305,0,0.25,0.25,0,0.25,0,0,0,0.25
"17",32,2,2179,4,121111,"English","circle",0.6,"cloud",0.65,"solid",0.5,"polka-dotted",0.65,"green",0.2,"blue",0.2,"square",0.4,"red",0.25,NA,NA,313,232,131,"True",8,21,17,7,0.188,0.174,0.116,0.145,NA,0.188,0.058,0.072,0.058,0.107,0.107,0.115,0.115,0,0.226,0.107,0.107,0.115,0.125,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125
